Site	Dates	Flow	
10s	10d	6n	
11452900	2017-09-16	0	
11452900	2017-09-17	0	
11452900	2017-09-18	0	
11452900	2017-09-19	0	
11452900	2017-09-20	0	
11452900	2017-09-21	0	
11452900	2017-09-22	0	
11452900	2017-09-23	0	
11452900	2017-09-24	0	
11452900	2017-09-25	0	
11452900	2017-09-26	0	
11452900	2017-09-27	0	
11452900	2017-09-28	0	
11452900	2017-09-29	0	
11452900	2017-09-30	0	
